isbn,title,authors,year,price,genre
9780060935467,To Kill a Mockingbird,"[""Harper Lee""]",1960,9.99,Classic Fiction
9780143124177,1984,"[""George Orwell""]",1949,10.5,Sci-Fi
9780545010221,Harry Potter and the Sorcerer's Stone,"[""J.K. Rowling""]",1997,8.99,Fantasy
9780545010222,Harry Potter and the Sorcerer's Stone 2,"[""J.K. Rowling"", ""J.K. Bowling""]",1999,8.99,Fantasy
9780545010223,1984 To Kill a Mockingbird,"[""George Orwell"", ""Harper Lee""]",1949,10.5,Sci-Fi
9780545010224,Harry Potter and the Sorcerer's Stone 4,"[""J.K. Rowling""]",2003,8.99,Fantasy
9780545010225,Harry Potter and the Sorcerer's Stone 5,"[""J.K. Rowling""]",2005,8.99,Fantasy
9780545010226,Harry Potter and the Sorcerer's Stone 6,"[""J.K. Rowling""]",2007,8.99,Fantasy
9780545010227,Harry Potter and the Sorcerer's Stone 7,"[""J.K. Rowling""]",2009,8.99,Fantasy
9780545010228,Harry Potter and the Sorcerer's Stone 8,"[""J.K. Rowling""]",2011,8.99,Fantasy
9780545010229,Harry Potter and the Sorcerer's Stone 9,"[""J.K. Rowling""]",2013,8.99,Fantasy
9780545010230,Harry Potter and the Sorcerer's Stone 10,"[""J.K. Rowling""]",2015,8.99,Fantasy
9780545010231,Harry Potter and the Sorcerer's Stone 11,"[""J.K. Rowling""]",2017,8.99,Fantasy
9780545010232,Harry Potter and the Sorcerer's Stone 12,"[""J.K. Rowling""]",2019,8.99,Fantasy
9780545010233,Harry Potter and the Sorcerer's Stone 13,"[""J.K. Rowling""]",2021,8.99,Fantasy
9780545010234,Harry Potter and the Sorcerer's Stone 14,"[""J.K. Rowling""]",2023,8.99,Fantasy
9780545010235,Harry Potter and the Sorcerer's Stone 15,"[""J.K. Rowling""]",2025,8.99,Fantasy
9780545010236,Harry Potter and the Sorcerer's Stone 16,"[""J.K. Rowling""]",1949,8.99,Fantasy
9780545010237,Harry Potter and the Sorcerer's Stone 17,"[""J.K. Rowling""]",1950,8.99,Fantasy
9780545010238,Harry Potter and the Sorcerer's Stone 18,"[""J.K. Rowling""]",1951,8.99,Fantasy
9780545010239,Harry Potter and the Sorcerer's Stone 19,"[""J.K. Rowling""]",1952,8.99,Fantasy
9780545010240,Harry Potter and the Sorcerer's Stone 20,"[""J.K. Rowling""]",1953,8.99,Fantasy
9780545010241,Harry Potter and the Sorcerer's Stone 21,"[""J.K. Rowling""]",1954,8.99,Fantasy
9780545010242,Harry Potter and the Sorcerer's Stone 22,"[""J.K. Rowling""]",1955,8.99,Fantasy
9780545010243,Harry Potter and the Sorcerer's Stone 23,"[""J.K. Rowling""]",1956,8.99,Fantasy
9780545010244,Harry Potter and the Sorcerer's Stone 24,"[""J.K. Rowling""]",1957,8.99,Fantasy
9780545010245,Harry Potter and the Sorcerer's Stone 25,"[""J.K. Rowling""]",1958,8.99,Fantasy
9780545010246,Harry Potter and the Sorcerer's Stone 26,"[""J.K. Rowling""]",1959,8.99,Fantasy
9780545010247,Harry Potter and the Sorcerer's Stone 27,"[""J.K. Rowling""]",1960,8.99,Fantasy
9780545010248,Harry Potter and the Sorcerer's Stone 28,"[""J.K. Rowling""]",1961,8.99,Fantasy
9780545010249,Harry Potter and the Sorcerer's Stone 29,"[""J.K. Rowling""]",1962,8.99,Fantasy
9780545010250,Harry Potter and the Sorcerer's Stone 30,"[""J.K. Rowling""]",1963,8.99,Fantasy
9780545010251,Harry Potter and the Sorcerer's Stone 31,"[""J.K. Rowling""]",1964,8.99,Fantasy
9780545010252,Harry Potter and the Sorcerer's Stone 32,"[""J.K. Rowling""]",1965,8.99,Fantasy
9780545010253,Harry Potter and the Sorcerer's Stone 33,"[""J.K. Rowling""]",1966,8.99,Fantasy
9780545010254,Harry Potter and the Sorcerer's Stone 34,"[""J.K. Rowling""]",1967,8.99,Fantasy
9780545010255,Harry Potter and the Sorcerer's Stone 35,"[""J.K. Rowling""]",1968,8.99,Fantasy
9780545010256,Harry Potter and the Sorcerer's Stone 36,"[""J.K. Rowling""]",1969,8.99,Fantasy
9780545010257,Harry Potter and the Sorcerer's Stone 37,"[""J.K. Rowling""]",1970,8.99,Fantasy
9780545010258,Harry Potter and the Sorcerer's Stone 38,"[""J.K. Rowling""]",1971,8.99,Fantasy
9780545010259,Harry Potter and the Sorcerer's Stone 39,"[""J.K. Rowling""]",1972,8.99,Fantasy
9780545010260,Harry Potter and the Sorcerer's Stone 40,"[""J.K. Rowling""]",1973,8.99,Fantasy
9780545010261,Harry Potter and the Sorcerer's Stone 41,"[""J.K. Rowling""]",1974,8.99,Fantasy
9780545010262,Harry Potter and the Sorcerer's Stone 42,"[""J.K. Rowling""]",1975,8.99,Fantasy
